sha256,file_count,total_size_bytes,paths
0db31b9c1430485c4be9c4a9a7000c8181945712d27e44cb559387272fb9af1c,4,4488,models/rpi_4/scaler.pkl; models/esp32/scaler.pkl; models/rpi_zero/scaler.pkl; models/production/scaler.pkl
7b32e0f0f0387b560e01b76f0c289223e63c78281e8687391ca002f939a29116,4,2596,models/rpi_4/feature_names.json; models/esp32/feature_names.json; models/rpi_zero/feature_names.json; models/production/feature_names.json
08e596645b5a73fe822fb41fd0d62aabcb3ef12a79a14f05cb0bb0abd5f3ca0e,2,9452406,models/helix_full/helix_full_nsl_kdd_best.pt; results/phase63/checkpoint_immutable.pt
3b122f165dafca739dc0e339d4af94a1f6828dba81f872db7dab65c182672f12,2,514,results/phase47/svcca_matrix.csv; results/phase47/pwcca_matrix.csv
6fb84efee3eda9fc1a3c46d9b5b85b253e0e5e8464e9b2faac32371d6aecdd66,2,37354,results/phase55/latents/expF_dim32_labels.npz; results/phase55/latents/expF_dim1_labels.npz
a62be33df4989c22f14f6196163111429979b61cafd2b15c219bb9f033432be7,2,24348,results/phase59/phase59_run.log; results/phase59/phase59_console.log
c646fd1cebedb353c4acfa6dbef8df3790cd10806d7338019b83edff839bea65,2,12442,results/phase51/tables/class_transfer_matrix.csv; results/phase51/tables/class_transfer_atlas.csv
a4e3faa601a9649b7aa24b3a2854807890d67b8bfb7851c884babd00b1564b19,2,11134,results/phase51/tables/all_transfer_results.csv; results/phase51/tables/pairwise_transferability_atlas.csv
8c591b8b233266e2be9e5b23974f6d17f88b549cc1e871387a99334e9f3079c7,2,3822,results/phase51/tables/failure_attribution.csv; results/phase51/tables/failure_attribution_matrix_detail.csv
b3ce0eee401ad68e6ea6e09c6d9e9e4bc707bd55a144d10e1addf312efd94006,2,1428,results/phase51/tables/similarity_correlations.csv; results/phase51/tables/predictor_ranking.csv
38ecaf526f264b61294b0e27d5e1b60ef4ca0e865054e657c5f389ba278c77e2,2,4604698,.understand-anything/knowledge-graph.json; .understand-anything/.trash-1782005968/assembled-graph.json
9d0699b1d215527123fc42ac04e950848773c4c865f5ae7e1ac2b711b2185f08,2,1964064,data/processed/multi_dataset_v1/y_train_unsw_nb15.npy; data/processed/phase52_cache/unsw_nb15_y_train.npy
fa5e587280260bfb72a904ce105fba738e3b815b747d1748f14d2446ff115fe4,2,1411152,data/processed/multi_dataset_v1/y_train_nsl_kdd.npy; data/processed/phase52_cache/nsl_kdd_y_train.npy
e524d2475474d41ac566fae72f0e51c5245a046e6fab7a195b238318137ddef2,2,421088,data/processed/multi_dataset_v1/y_test_unsw_nb15.npy; data/processed/phase52_cache/unsw_nb15_y_test.npy
8cb91c228fe67e827dcd957866673d20e45182b93fcc54d6c760199b53a78f37,2,256,data/processed/multi_dataset_v1/X_train_cicids.npy; data/processed/multi_dataset_v1/X_val_cicids.npy
e734dac55ea9fbbe782af2d8c02c3c5992131906228afb2aaaf137d6f3ed74db,2,256,data/processed/multi_dataset_v1/y_val_cicids.npy; data/processed/multi_dataset_v1/y_train_cicids.npy
5147f20bcb8d515da2921d94800143f8847a48a9286c48ae70205c1f53f8291d,2,302592,data/processed/multi_dataset_v1/y_test_nsl_kdd.npy; data/processed/phase52_cache/nsl_kdd_y_test.npy
